brand,model,trim,segment,fuel_type,price,power_ps,torque_nm,displacement_cc,efficiency,length_mm,width_mm,height_mm,wheelbase_mm,seats,image_local_path,image_filename,image_exists,image_status,width,height,has_transparency,wiki_title,image_match_key
Audi,A3,A3 40 TFSI S Tronic,준중형 세단,가솔린,4451,204.0,320,1984,12.4,4495,1815,1425,2636,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_a3.png,audi_a3.png,True,ok,960,522,True,,Audi | A3
Audi,A3,A3 40 TFSI Premium S Tronic,준중형 세단,가솔린,4874,204.0,320,1984,12.4,4495,1815,1425,2636,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_a3.png,audi_a3.png,True,ok,960,522,True,,Audi | A3
Audi,S3,S3 TFSI quattro,준중형 세단,가솔린,5964,310.0,400,1984,10.4,4505,1816,1415,2630,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_s3.png,audi_s3.png,True,ok,960,684,True,,Audi | S3
Audi,A4,A4 40 TFSI,중형 세단,가솔린,5317,204.0,320,1984,12.0,4760,1845,1430,2820,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_a4.png,audi_a4.png,True,ok,960,500,True,,Audi | A4
Audi,A4,A4 45 TFSI quattro Premium,중형 세단,가솔린,6593,265.0,370,1984,10.7,4760,1845,1430,2820,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_a4.png,audi_a4.png,True,ok,960,500,True,,Audi | A4
Audi,A5 Sportback,A5 Sportback 40 TFSI quattro,중형 세단,가솔린,5916,204.0,320,1984,12.1,4755,1845,1390,2825,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_a5_sportback.png,audi_a5_sportback.png,True,ok,960,515,True,,Audi | A5 Sportback
Audi,A6,A6 45 TFSI Premium,준대형 세단,가솔린,7950,265.0,370,1984,11.5,4939,1886,1457,2924,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_a6.png,audi_a6.png,True,ok,960,444,True,,Audi | A6
Audi,A6,A6 50 TDI quattro Premium,준대형 세단,디젤,8790,286.0,620,2967,12.7,4939,1886,1457,2924,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_a6.png,audi_a6.png,True,ok,960,444,True,,Audi | A6
Audi,A7,A7 55 TFSI quattro Premium,준대형 세단,가솔린,10050,340.0,500,2995,10.1,4969,1908,1422,2926,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_a7.png,audi_a7.png,True,ok,960,567,True,,Audi | A7
Audi,A8 L,A8 L 55 TFSI quattro Premium Tiptronic,대형 세단,가솔린,16242,340.0,500,2995,9.9,5320,1945,1488,3128,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_a8_l.png,audi_a8_l.png,True,ok,960,490,True,,Audi | A8 L
Audi,Q2,Q2 35 TDI Premium,소형 SUV,디젤,4240,150.0,340,1968,15.1,4208,1794,1537,2601,5,C:\anaconda\envs\bigdata\PROJECT1\streamlit\project\ev_compare_dashboard\assets\all_cars_cutout\images\audi_q2.png,audi_q2.png,True,ok,960,516,True,,Audi | Q2
